"K: kommitment, ansonsten Kürzel der Person (AN,JM,RW,BW)",,,,,,GV-Vorjahr,"196.625,88 €",,,K,BW,AN,RW,JM,,,,,,,,,,
AR,JM,Berenberg RN_20170131,"15.518,34 €",2017-01,6.2.2017,bei Jochen,14.2.2017,"164.615,14 €",,"9.763,59 €","0,00 €","0,00 €","0,00 €","2.445,70 €","0,00 €","0,00 €","0,00 €","831,33 €",,,,"2.306,25 €","14.320,32 €",
ER,K,Rundfunkbeitrag,"29,15 €",2017-02,,bei Jochen,15.2.2017,"164.585,99 €",,,,,,,,,,,,,,,,
UstVZ,K,Steuerkasse Hamburg,"14.371,47 €",2017-02,,bei Jochen,15.2.2017,"150.214,52 €",,,,,,,,,,,,,,,,
ER,K,Internet-Registerauskunft (HR-Auszug),"4,50 €",2017-02,16.2.2017,bei Jochen,16.2.2017,"150.210,02 €",,,,,,,,,,,,,,,,
AR,JM,Berenberg RN_20170131 - TEIL2,"4.267,28 €",2017-01,6.2.2017,bei Jochen,17.2.2017,"154.477,30 €",,"3.585,95 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €",,,,,,
ER,AN,"SEPA-Basislastschrift
Telekom Deutschland GmbH
MOBILFUNK KUNDENKONTO 00004
7280704 0020417444012641/06
.02.17","37,95 €",2017-02,,bei Jochen,20.2.2017,"154.439,35 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Domains","64,26 €",2017-02,18.2.2017,bei Jochen,20.2.2017,"154.375,09 €",,,,,,,,,,,,,,,,
ER,K,"Re-2017-06, Kanban-Coaching Operations für Berenberg","3.614,63 €",2017-01,16.2.2017,bei Jochen,20.2.2017,"150.760,46 €",,,,,,,,,,,,,,,,
UstVZ,K,"SEPA-Basislastschrift STEUERKASSE HAMBURG STEUERNR 048/638/01147 GEW. ST 1VJ.17 5.160,00EUR","5.160,00 €",2017-02,,bei Jochen,20.2.2017,"145.600,46 €",,,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung","50,00 €",2017-02,,bei Jochen,21.2.2017,"145.550,46 €",,,,,,,,,,,,,,,,
ER,RW,"Internet-Euro-Überweisung
Ralf Wirdemann
BIC:INGDDEFFXXX
IBAN:DE82500105175401478930
Datum: 21.02.17 Zeit: 21:43
UFT 0020630894 TAN 504004
Belegabrechnung 02/2017","308,37 €",2017-02,,,22.2.2017,"145.242,09 €",,,,,,,,,,,,,,,,
ER,K,Schulungen für Berenberg durch Ministry,"2.856,00 €",2017-02,21.2.2017,bei Jochen,22.2.2017,"142.386,09 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,Berenberg RN_20170131-Schulungen,"5.355,00 €",2017-01,6.2.2017,bei Jochen,22.2.2017,"147.741,09 €",,"4.050,00 €","0,00 €","0,00 €","0,00 €","225,00 €","0,00 €","0,00 €","0,00 €","225,00 €",,,,,"4.500,00 €","5.355,00 €"
AR,AN,"Funke Medien, Westfalenpost","10.809,50 €",2017-01,31.1.2017,bei Jochen,22.2.2017,"158.550,59 €",,"3.968,45 €","0,00 €","4.657,58 €","0,00 €","0,00 €","0,00 €","457,58 €","0,00 €","0,00 €",,"6.000,00 €",,,"3.151,68 €",
ER,JM,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7191657774 vom 16.02.17","50,57 €",2017-01,24.2.2017,bei Jochen,23.2.2017,"158.500,02 €",,,,,,,,,,,,,,,,
ER,AN,Wolkesicher,"4,99 €",2017-02,21.2.2017,bei Jochen,27.2.2017,"158.495,03 €",,,,,,,,,,,,,,,,
ER,K,Handelskammerbeitrag,"135,00 €",2017-02,27.2.2017,bei Jochen,27.2.2017,"158.360,03 €",,,,,,,,,,,,,,,,
ER,AN,Belegabrechnung 2017-02,"487,13 €",2017-02,27.2.2017,bei Jochen,27.2.2017,"157.872,90 €",,,,,,,,,,,,,,,,
ER,JM,201702-BA-JM,"634,20 €",2017-02,27.2.2017,27.2.2017,27.2.2017,"157.238,70 €",,,,,,,,,,,,,,,,
ER,K,"Kontoführung
Abrechnung vom 28.02.2017","17,35 €",2017-02,28.2.2017,bei Jochen,28.2.2017,"157.221,35 €",,,,,,,,,,,,,,,,
ER,K,Sven Roepstorff für BB,"11.691,75 €",2017-02,28.2.2017,bei Jochen,28.2.2017,"145.529,60 €",,,,,,,,,,,,,,,,
AR,JM,Berenberg-Algo,"24.602,88 €",2017-01,6.2.2017,bei Jochen,28.2.2017,"170.132,48 €",,"20.674,69 €","0,00 €",,,,"0,00 €","0,00 €","0,00 €","0,00 €",,,,,,
GV,AN,Anke,"6.000,00 €",2017-03,2.3.2017,bei Jochen,2.3.2017,"164.132,48 €",,,,,,,,,,,,,,,,
GV,RW,Ralf,"6.000,00 €",2017-03,2.3.2017,bei Jochen,2.3.2017,"158.132,48 €",,,,,,,,,,,,,,,,
GV,JM,Johannes,"6.000,00 €",2017-03,2.3.2017,bei Jochen,2.3.2017,"152.132,48 €",,,,,,,,,,,,,,,,
AR,JM,"RN_20170222.pdf, SIGS Datacom","357,00 €",2017-02,22.2.2017,bei Jochen,3.3.2017,"152.489,48 €",,"60,00 €","0,00 €","0,00 €","0,00 €","225,00 €","0,00 €","0,00 €","0,00 €","15,00 €",,,,"300,00 €",,
AR,JM,"Sigs-Datacom, RN_20161219.gsheet","892,50 €",2017-02,21.2.2017,bei Jochen,3.3.2017,"153.381,98 €",,"150,00 €","0,00 €","0,00 €","0,00 €","562,50 €","0,00 €","0,00 €","0,00 €","37,50 €",,,,"750,00 €",,
AR,AN,moebel.de,"3.540,25 €",2017-02,27.2.2017,bei Jochen,3.3.2017,"156.922,23 €",,"595,00 €","0,00 €","2.231,25 €","0,00 €","0,00 €","0,00 €","148,75 €","0,00 €","0,00 €",,"2.975,00 €",,,,
ER,K,"Susanne Bartel, Nummer: 2017-09","7.550,55 €",2017-02,3.3.2017,bei Jochen,3.3.2017,"149.371,68 €",,,,,,,,,,,,,,,,
AR,AN,"Funke Medien, Westfalenpost","8.703,45 €",2017-02,10.2.2017,bei Jochen,3.3.2017,"158.075,13 €",,"1.553,82 €","0,00 €","5.400,00 €","0,00 €","0,00 €","0,00 €","360,00 €","0,00 €","0,00 €",,"7.200,00 €",,,,
ER,K,"Jutta Eckstein, rng170304","19.349,40 €",2017-02,3.3.2017,bei Jochen,3.3.2017,"138.725,73 €",,,,,,,,,,,,,,,,
AR,JM,RN_20170131-Algo storno,"-24.602,88 €",2017-01,27.2.2017,bei Jochen,7.3.2017,"114.122,85 €",,"-20.674,69 €","0,00 €",,,,"0,00 €","0,00 €","0,00 €","0,00 €",,,,,,
ER,AN,"SEPA-Basislastschrift
YOLK DANKT MITE.YO.LK
SLV6253090705 04.03 04.22 Y
olk dankt mite.yo.lk 201703
-28399-300801","5,00 €",2017-03,8.3.2017,bei Jochen,7.3.2017,"114.117,85 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,RN_20170131-Algo-neu,"25.992,25 €",2017-02,27.2.2017,bei Jochen,7.3.2017,"140.110,10 €",,"17.930,72 €","0,00 €","0,00 €","0,00 €","2.819,44 €","0,00 €","0,00 €","0,00 €","1.092,06 €",,,,"2.467,69 €","19.373,53 €",
ER,AN,Erstattung Differenzbetrag Google-Rechnungen 2016,"20,47 €",2017-03,8.3.2017,bei Jochen,8.3.2017,"140.089,63 €",,,,,,,,,,,,,,,,
ER,K,"Ministry für BB, RN: Ministry Group-4-346­17­3","1.428,00 €",2017-03,8.3.2017,bei Jochen,8.3.2017,"138.661,63 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Miete","824,78 €",2017-03,13.3.2017,bei Jochen,13.3.2017,"137.836,85 €",,,,,,,,,,,,,,,,
ER,K,Thiemer & Ralf 10745-008,"119,00 €",2017-03,14.3.2017,bei Jochen,14.3.2017,"137.717,85 €",,,,,,,,,,,,,,,,
ER,K,Thiemer & Ralf 10745-009,"380,80 €",2017-03,14.3.2017,bei Jochen,14.3.2017,"137.337,05 €",,,,,,,,,,,,,,,,
ER,K,mindspace Kaution,"5.247,90 €",2017-03,16.3.2017,16.3.2017,16.3.2017,"132.089,15 €",,,,,,,,,,,,,,,,
UstVZ,K,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST JAN.17 7.602,68EUR","7.602,68 €",2017-03,16.3.2017,16.3.2017,16.3.2017,"124.486,47 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,"RN_20170304-Algo, Berenberg","23.219,28 €",2017-02,3.3.2017,bei Jochen,16.3.2017,"147.705,75 €",,"17.560,80 €","0,00 €","0,00 €","0,00 €","975,60 €","0,00 €","0,00 €","0,00 €","975,60 €",,,,,"19.512,00 €","23.219,28 €"
AR,JM,"RN_20170303-03-Schulungen, Berenberg","3.570,00 €",2017-02,3.3.2017,bei Jochen,17.3.2017,"151.275,75 €",,"2.700,00 €","0,00 €","0,00 €","0,00 €","150,00 €","0,00 €","0,00 €","0,00 €","150,00 €",,,,,"3.000,00 €",
ER,AN,Telekom,"38,54 €",2017-03,8.3.2017,bei Jochen,20.3.2017,"151.237,21 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,"RN_20170303, Berenberg","32.372,00 €",2017-02,3.3.2017,bei Jochen,20.03.2017,"183.609,21 €",,"19.281,15 €","0,00 €","0,00 €","0,00 €","6.562,04 €","0,00 €","0,00 €","0,00 €","1.360,17 €",,,,"7.431,25 €","19.772,11 €",
ER,K,Abrechnung Kreditkarte,"110,75 €",2017-03,,,21.3.2017,"183.498,46 €",,,,,,,,,,,,,,,,
AR,JM,"mytoys, RN_20170305","1.904,00 €",2017-02,3.3.2017,bei Jochen,21.3.2017,"185.402,46 €",,"320,00 €","0,00 €","0,00 €","0,00 €","1.200,00 €","0,00 €","0,00 €","0,00 €","80,00 €",,,,"1.600,00 €",,
ER,JM,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7194188279 vom 16.03.17","41,14 €",2017-03,,,23.3.2017,"185.361,32 €",,,,,,,,,,,,,,,,
AR,JM,"RN_20170306, Losstech","1.547,00 €",2017-02,3.3.2017,bei Jochen,27.3.2017,"186.908,32 €",,"260,00 €","0,00 €","0,00 €","0,00 €","975,00 €","0,00 €","0,00 €","0,00 €","65,00 €",,,,"1.300,00 €",,
ER,AN,Belegabrechnung Anke 2017-03,"661,63 €",2017-03,29.3.2017,bei Jochen,29.3.2017,"186.246,69 €",,,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
vcomtec UG (haftungsbeschraenkt)
RgNr 2886 vom 20.03.2017 Vi
elen Dank, Wolkesicher","4,99 €",2017-03,7.4.2017,bei Jochen,30.3.2017,"186.241,70 €",,,,,,,,,,,,,,,,
ER,K,"Zinsen/Kontoführung
Abrechnung vom 31.03.2017","16,68 €",2017-03,,,31.3.2017,"186.225,02 €",,,,,,,,,,,,,,,,
ER,K,JM-Belege-März,"60,50 €",2017-03,31.3.2017,bei Jochen,31.3.2017,"186.164,52 €",,,,,,,,,,,,,,,,
ER,K,RW-Belege März,"140,26 €",2017-03,31.3.2017,bei Jochen,31.3.2017,"186.024,26 €",,,,,,,,,,,,,,,,
ER,K,"JM-Reisekostenabrechnung Berlin, Thalia","315,00 €",2017-03,31.3.2017,bei Jochen,31.3.2017,"185.709,26 €",,,,,,,,,,,,,,,,
ER,K,"Re-2017-11, Rechnung Susanne Bartel","5.662,91 €",2017-03,3.4.2017,bei Jochen,3.4.2017,"180.046,35 €",,,,,,,,,,,,,,,,
GV,JM,Johannes,"6.000,00 €",2017-04,,bei Jochen,3.4.2017,"174.046,35 €",,,,,,,,,,,,,,,,
GV,AN,Anke,"6.000,00 €",2017-04,,bei Jochen,3.4.2017,"168.046,35 €",,,,,,,,,,,,,,,,
ER,K,2017.04.01 Sven Röpstorff,"9.197,21 €",2017-03,3.4.2017,bei Jochen,3.4.2017,"158.849,14 €",,,,,,,,,,,,,,,,
ER,K,"rng170406, Rechnung Jutta Eckstein","11.495,40 €",2017-03,3.4.2017,bei Jochen,3.4.2017,"147.353,74 €",,,,,,,,,,,,,,,,
ER,??,"SEPA-Basislastschrift
AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND
028-8502392-0624314 Amazon.
de 0268982549601635","27,68 €",2017-03,,bei Jochen,4.4.2017,"147.326,06 €",,,,,,,,,,,,,,,,
ER,JM,"FATTURA 1547 KOMMITMENT GMBH, Amazon 0N8K-232P-1GKG, Festplatten","84,00 €",2017-04,4.4.2017,bei Jochen,4.4.2017,"147.242,06 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Miete","824,78 €",2017-04,4.4.2017,bei Jochen,4.4.2017,"146.417,28 €",,,,,,,,,,,,,,,,
GV,RW,Ralf,"7.500,00 €",2017-04,,bei Jochen,4.4.2017,"138.917,28 €",,,,,,,,,,,,,,,,
AR,JM,RN_20170228-picue,"16.109,63 €",2017-02,3.3.2017,bei Jochen,4.4.2017,"155.026,91 €",,"2.707,50 €","0,00 €","0,00 €","6.457,50 €","3.695,63 €","0,00 €","0,00 €","0,00 €","676,88 €",,,"9.225,00 €","4.312,50 €",,
ER,JM,"SEPA-Basislastschrift
YOLK DANKT MITE.YO.LK
SLV6331650397 04.04 03.28 Y
olk dankt mite.yo.lk 201704
-28399-306024","5,00 €",2017-04,,bei Jochen,6.4.2017,"155.021,91 €",,,,,,,,,,,,,,,,
AR,JM,RN_20170217-CEWE,"3.308,65 €",2017-02,27.2.2017,bei Jochen,7.4.2017,"158.330,56 €",,"780,38 €","0,00 €","560,00 €","0,00 €","1.315,00 €","0,00 €","0,00 €","0,00 €","125,00 €",,"800,00 €",,"1.700,00 €",,"2.975,00 €"
AR,JM,"RN_20170404-01 - Rechnung, Schulungen","1.785,00 €",2017-03,4.4.2017,bei Jochen,11.4.2017,"160.115,56 €",,"1.350,00 €","0,00 €","0,00 €","0,00 €","75,00 €","0,00 €","0,00 €","0,00 €","75,00 €",,,,,"1.500,00 €",
ER,??,"SEPA-Basislastschrift
AMAZON PAYMENTS EUROPE S.C.A.
028-7331895-9178700 Amazon
.Mktplce EU-DE 219436065343
8860","56,72 €",2017-04,,bei Jochen,12.4.2017,"160.058,84 €",,,,,,,,,,,,,,,,
ER,RW,Belegabrechnung April 01 2017,"2.071,99 €",2017-04,12.4.2017,bei Jochen,12.4.2017,"157.986,85 €",,,,,,,,,,,,,,,,
AR,AN,moebel.de,"2.856,00 €",2017-03,29.3.2017,bei Jochen,12.4.2017,"160.842,85 €",,"480,00 €","0,00 €","1.800,00 €","0,00 €","0,00 €","0,00 €","120,00 €","0,00 €","0,00 €",,"2.400,00 €",,,,
UstVZ,K,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST FEB.17 10.997,91EUR","10.997,91 €",2017-04,,bei Jochen,13.4.2017,"149.844,94 €",,,,,,,,,,,,,,,,
ER,RW,"SEPA-Basislastschrift
Drillisch Online AG
C2103104 U185682132
B241391869 WINSIM B
2C.DE","19,99 €",2017-04,20.4.2017,bei Jochen,18.4.2017,"149.824,95 €",,,,,,,,,,,,,,,,
ER,AN,Telekom,"42,90 €",2017-04,7.4.2017,bei Jochen,18.4.2017,"149.782,05 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Anteil Bürobeschilderung","62,48 €",2017-04,18.4.2017,bei Jochen,18.4.2017,"149.719,57 €",,,,,,,,,,,,,,,,
ER,K,Fensterreinigung Büro,"73,78 €",2017-04,18.4.2017,bei Jochen,18.4.2017,"149.645,79 €",,,,,,,,,,,,,,,,
AR,AN,"Funke Medien, Westfalenpost","2.320,47 €",2017-03,29.3.2017,bei Jochen,19.4.2017,"151.966,26 €",,"509,97 €","0,00 €","1.350,00 €","0,00 €","0,00 €","0,00 €","90,00 €","0,00 €","0,00 €",,"1.800,00 €",,,,
AR,K,Anteil Fensterreinigung hauptsache.net,"55,34 €",2017-04,18.4.2017,bei Jochen,20.4.2017,"152.021,60 €",,"46,50 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €",,,,,,"0,00 €"
AR,JM,RN_20170404-02 - Rechnung,"13.794,48 €",2017-03,4.4.2017,bei Jochen,20.4.2017,"165.816,08 €",,"10.432,80 €","0,00 €","0,00 €","0,00 €","579,60 €","0,00 €","0,00 €","0,00 €","579,60 €",,,,,"11.592,00 €",
ER,K,Mastercard 2017-04,"1.024,94 €",2017-04,,bei Jochen,25.4.2017,"164.791,14 €",,,,,,,,,,,,,,,,
AR,JM,Rechnung Hanseatic Bank,"20.789,90 €",2017-03,4.4.2017,bei Jochen,25.4.2017,"185.581,04 €",,"5.140,50 €","0,00 €","6.142,50 €","0,00 €","5.416,88 €","0,00 €","0,00 €","0,00 €","770,63 €",,"8.775,00 €",,"6.637,50 €",,
ER,JM,Congstar,"38,73 €",2017-04,,bei Jochen,26.4.2017,"185.542,31 €",,,,,,,,,,,,,,,,
ER,AN,"vcomtec, Wolkesicher","4,99 €",2017-04,28.4.2017,bei Jochen,27.4.2017,"185.537,32 €",,,,,,,,,,,,,,,,
ER,K,"Kontoführung
Abrechnung vom 28.04.2017","16,45 €",2017-04,,bei Jochen,28.4.2017,"185.520,87 €",,,,,,,,,,,,,,,,
ER,AN,Belegerstattung 2017-04,"256,89 €",2017-04,28.4.2017,bei Jochen,28.4.2017,"185.263,98 €",,,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2017-05,"6.000,00 €",2017-05,,bei Jochen,1.5.2017,"179.263,98 €",,,,,,,,,,,,,,,,
GV,JM,Kommanditistenentnahme 2017-05,"6.000,00 €",2017-05,,bei Jochen,1.5.2017,"173.263,98 €",,,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2017-05,"7.500,00 €",2017-05,,bei Jochen,1.5.2017,"165.763,98 €",,,,,,,,,,,,,,,,
ER,K,"JM-Reisekostenabrechnung Berlin, Thalia, korrektur","12,00 €",2017-03,28.4.2017,bei Jochen,2.5.2017,"165.751,98 €",,,,,,,,,,,,,,,,
ER,K,Belege-2017-04-JM.pdf,"181,50 €",2017-04,28.4.2017,bei Jochen,2.5.2017,"165.570,48 €",,,,,,,,,,,,,,,,
ER,K,"reisekosten-2017.04.25-JM.pdf, JM-RKA Breuninger 26.4.2017","317,00 €",2017-04,28.4.2017,bei Jochen,2.5.2017,"165.253,48 €",,,,,,,,,,,,,,,,
ER,K,"reisekosten-20170323-JM.pdf, JM-RKA Breuninger 21.3.2017","381,18 €",2017-04,28.4.2017,bei Jochen,2.5.2017,"164.872,30 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Miete","824,78 €",2017-05,2.5.2017,bei Jochen,2.5.2017,"164.047,52 €",,,,,,,,,,,,,,,,
ER,RW,Rechnung Amazon Maus,"21,98 €",2017-05,3.5.2017,bei Jochen,3.5.2017,"164.025,54 €",,,,,,,,,,,,,,,,
ER,K,Belegabrechnung RW 2017-04 02,"617,23 €",2017-05,3.5.2017,bei Jochen,3.5.2017,"163.408,31 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,RN_20170404-03 - Rechnung,"22.158,72 €",2017-03,4.4.2017,bei Jochen,4.5.2017,"185.567,03 €",,"13.709,40 €","0,00 €","0,00 €","0,00 €","3.980,38 €","0,00 €","0,00 €","0,00 €","931,00 €",,,,"4.356,25 €","14.263,75 €",
AR,AN,moebel.de,"714,00 €",2017-04,2.5.2017,bei Jochen,5.5.2017,"186.281,03 €",,"120,00 €","0,00 €","450,00 €","0,00 €","0,00 €","0,00 €","30,00 €","0,00 €","0,00 €",,"600,00 €",,,,"714,00 €"
AR,JM,"RN_20170502-02 - Rechnung, Berenberg Algo","21.353,06 €",2017-04,2.5.2017,bei Jochen,5.5.2017,"207.634,09 €",,"16.149,37 €","0,00 €","0,00 €","0,00 €","897,19 €","0,00 €","0,00 €","0,00 €","897,19 €",,,,,"17.943,75 €",
ER,K,"Susanne Bartel, Re-2017-13","6.872,25 €",2017-04,7.5.2017,bei Jochen,7.5.2017,"200.761,84 €",,,,,,,,,,,,,,,,
