Befehl:,soll SKR03,haben SKR03,profit center, ,Betreff,Betrag (brutto),"Zuordnung
Mnt",Buchungstag Wertstellung,"0,00 €",grün ist okay,BW,AN,RW,JM,KR,IK,SR,Extern,Rest
ER,,,K,,Schulungen für Berenberg durch Ministry,"2.856,00 €",2017-02,22.2.2017,"144.329,12 €",,,,,,,,,,
AR,,,JM,,Berenberg RN_20170131-Schulungen,"5.355,00 €",2017-01,22.2.2017,"149.684,12 €",,,,,,,,,"4.500,00 €","0,00 €"
AR,,,AN,,"Funke Medien, Westfalenpost","10.809,50 €",2017-01,22.2.2017,"160.493,62 €",,,"6.000,00 €",,,,,,"3.000,00 €","83,61 €"
ER,,,JM,,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7191657774 vom 16.02.17","50,57 €",2017-01,23.2.2017,"160.443,05 €",,,,,,,,,,
ER,,,AN,,Wolkesicher,"4,99 €",2017-02,27.2.2017,"160.438,06 €",,,,,,,,,,
ER,,,K,,Handelskammerbeitrag,"135,00 €",2017-02,27.2.2017,"160.303,06 €",,,,,,,,,,
ER,,,AN,,Belegabrechnung 2017-02,"487,13 €",2017-02,27.2.2017,"159.815,93 €",,,,,,,,,,
ER,,,JM,,201702-BA-JM,"634,20 €",2017-02,27.2.2017,"159.181,73 €",,,,,,,,,,
ER,,,K,,"Kontoführung
Abrechnung vom 28.02.2017","17,35 €",2017-02,28.2.2017,"159.164,38 €",,,,,,,,,,
ER,,,K,,Sven Roepstorff für BB,"11.691,75 €",2017-02,28.2.2017,"147.472,63 €",,,,,,,,,,
AR,,,JM,,Berenberg-Algo,"24.602,88 €",2017-01,28.2.2017,"172.075,51 €",,,,,,,,,,"20.674,69 €"
GV,,,JM,,Johannes,"6.000,00 €",2017-03,2.3.2017,"166.075,51 €",,,,,,,,,,
GV,,,RW,,Ralf,"6.000,00 €",2017-03,2.3.2017,"160.075,51 €","15.518,34 €",,,,,,,,,
GV,,,AN,,Anke,"6.000,00 €",2017-03,2.3.2017,"154.075,51 €",,,,,,,,,,
ER,,,K,,"Susanne Bartel, Nummer: 2017-09","7.550,55 €",2017-02,3.3.2017,"146.524,96 €",,,,,,,,,,
AR,,,JM,,"RN_20170222.pdf, SIGS Datacom","357,00 €",2017-02,3.3.2017,"146.881,96 €",,,,,"300,00 €",,,,,"0,00 €"
AR,,,JM,,"Sigs-Datacom, RN_20161219.gsheet","892,50 €",2017-02,3.3.2017,"147.774,46 €",,,,,"750,00 €",,,,,"0,00 €"
AR,,,AN,,moebel.de,"3.540,25 €",2017-02,3.3.2017,"151.314,71 €",,,"2.975,00 €",,,,,,,"0,00 €"
ER,,,K,,"Jutta Eckstein, rng170304","19.349,40 €",2017-02,3.3.2017,"131.965,31 €",,,,,,,,,,
AR,,,AN,,"Funke Medien, Westfalenpost","8.703,45 €",2017-02,3.3.2017,"140.668,76 €",,,"7.200,00 €",,,,,,,"113,82 €"
ER,,,AN,,"SEPA-Basislastschrift
YOLK DANKT MITE.YO.LK
SLV6253090705 04.03 04.22 Y
olk dankt mite.yo.lk 201703
-28399-300801","5,00 €",2017-03,7.3.2017,"140.663,76 €",,,,,,,,,,
AR,,,JM,,RN_20170131-Algo storno,"-24.602,88 €",2017-01,7.3.2017,"116.060,88 €",,,,,,,,,,"-20.674,69 €"
AR,,,JM,,RN_20170131-Algo-neu,"25.992,25 €",2017-02,7.3.2017,"142.053,13 €",,,,,"2.467,69 €",,,,"19.373,53 €","1,01 €"
ER,,,AN,,Erstattung Differenzbetrag Google-Rechnungen 2016,"20,47 €",2017-03,8.3.2017,"142.032,66 €",,,,,,,,,,
ER,,,K,,"Ministry für BB, RN: Ministry Group-4-346­17­3","1.428,00 €",2017-03,8.3.2017,"140.604,66 €",,,,,,,,,,
SKR03,1600,1200,K,,Churchdesk,"238,00 €",2017-01,10.3.2017,"140.366,66 €",,,,,,,,,,
SKR03,480,4200,K,,Bose quiet Comfort Headsets 3x,"794,09 €",2017-03,10.3.2017,"140.366,66 €",,,,,,,,,,
SKR03,1600,1200,K,,Umsatzsteuer zu Rechnung 22 - 2016 Kottkamp,"114,00 €",2017-01,10.3.2017,"140.252,66 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Miete","824,78 €",2017-03,13.3.2017,"139.427,88 €",,,,,,,,,,
ER,,,K,,Thiemer & Ralf 10745-008,"119,00 €",2017-03,14.3.2017,"139.308,88 €",,,,,,,,,,
ER,,,K,,Thiemer & Ralf 10745-009,"380,80 €",2017-03,14.3.2017,"138.928,08 €",,,,,,,,,,
SKR03,1525,1200,K,,Mindspace Kaution,"5.247,90 €",2017-03,16.3.2017,"133.680,18 €",,,,,,,,,,
UstVZ,,,K,,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST JAN.17 7.602,68EUR","7.602,68 €",2017-01,16.3.2017,"126.077,50 €",,,,,,,,,,
AR,,,JM,,"RN_20170304-Algo, Berenberg","23.219,28 €",2017-02,16.3.2017,"149.296,78 €",,,,,,,,,"19.512,00 €","0,00 €"
AR,,,JM,,"RN_20170303-03-Schulungen, Berenberg","3.570,00 €",2017-02,17.3.2017,"152.866,78 €",,,,,,,,,"3.000,00 €","0,00 €"
ER,,,AN,,Telekom,"38,54 €",2017-03,20.3.2017,"152.828,24 €",,,,,,,,,,
AR,,,JM,,"RN_20170303, Berenberg","32.372,00 €",2017-02,20.03.2017,"185.200,24 €",,,,,"7.431,25 €",,,,"19.772,11 €","0,00 €"
ER,,,K,,Abrechnung Kreditkarte Mastercard,"110,75 €",2017-03,21.3.2017,"185.089,49 €",,,,,,,,,,
AR,,,JM,,"mytoys, RN_20170305","1.904,00 €",2017-02,21.3.2017,"186.993,49 €",,,,,"1.600,00 €",,,,,"0,00 €"
ER,,,JM,,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7194188279 vom 16.03.17","41,14 €",2017-03,23.3.2017,"186.952,35 €",,,,,,,,,,
AR,,,JM,,"RN_20170306, Losstech","1.547,00 €",2017-02,27.3.2017,"188.499,35 €",,,,,"1.300,00 €",,,,,"0,00 €"
ER,,,AN,,Belegabrechnung Anke 2017-03,"661,63 €",2017-03,29.3.2017,"187.837,72 €",,,,,,,,,,
ER,,,K,,"SEPA-Basislastschrift
vcomtec UG (haftungsbeschraenkt)
RgNr 2886 vom 20.03.2017 Vi
elen Dank, Wolkesicher","4,99 €",2017-03,30.3.2017,"187.832,73 €",,,,,,,,,,
ER,,,K,,"Zinsen/Kontoführung
Abrechnung vom 31.03.2017","16,68 €",2017-03,31.3.2017,"187.816,05 €",,,,,,,,,,
ER,,,K,,JM-Belege-März,"60,50 €",2017-03,31.3.2017,"187.755,55 €",,,,,,,,,,
ER,,,K,,RW-Belege März,"140,26 €",2017-03,31.3.2017,"187.615,29 €",,,,,,,,,,
ER,,,K,,"JM-Reisekostenabrechnung Berlin, Thalia","315,00 €",2017-03,31.3.2017,"187.300,29 €",,,,,,,,,,
ER,,,K,,"Re-2017-11, Rechnung Susanne Bartel","5.662,91 €",2017-03,3.4.2017,"181.637,38 €",,,,,,,,,,
ER,,,K,,2017.04.01 Sven Röpstorff,"9.197,21 €",2017-03,3.4.2017,"172.440,17 €",,,,,,,,,,
ER,,,K,,"rng170406, Rechnung Jutta Eckstein","11.495,40 €",2017-03,3.4.2017,"160.944,77 €",,,,,,,,,,
GV,,,AN,,Anke,"6.000,00 €",2017-04,3.4.2017,"154.944,77 €",,,,,,,,,,
GV,,,JM,,Johannes,"6.000,00 €",2017-04,3.4.2017,"148.944,77 €",,,,,,,,,,
ER,,,K,,"SEPA-Basislastschrift
AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND
028-8502392-0624314 Amazon.
de 0268982549601635","27,68 €",2017-03,4.4.2017,"148.917,09 €",,,,,,,,,,
ER,,,JM,,"FATTURA 1547 KOMMITMENT GMBH, Amazon 0N8K-232P-1GKG, Festplatten","84,00 €",2017-04,4.4.2017,"148.833,09 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Miete","824,78 €",2017-04,4.4.2017,"148.008,31 €",,,,,,,,,,
GV,,,RW,,Ralf,"7.500,00 €",2017-04,4.4.2017,"140.508,31 €",,,,,,,,,,
AR,,,JM,,RN_20170228-picue,"16.109,63 €",2017-02,4.4.2017,"156.617,94 €",,,,"9.225,00 €","4.312,50 €",,,,,"0,00 €"
SKR03,1600,1200,K,,Haftungsvergütung Gf GmbH 2016,"1.591,03 €",2017-01,6.4.2017,"155.026,91 €",,,,,,,,,,
ER,,,JM,,"SEPA-Basislastschrift
YOLK DANKT MITE.YO.LK
SLV6331650397 04.04 03.28 Y
olk dankt mite.yo.lk 201704
-28399-306024","5,00 €",2017-04,6.4.2017,"155.021,91 €",  ,,,,,,,,,
AR,,,JM,,RN_20170217-CEWE,"3.308,65 €",2017-02,7.4.2017,"158.330,56 €","158.330,56 €",,"800,00 €",,"1.700,00 €",,,,,"280,38 €"
AR,,,JM,,"RN_20170404-01 - Rechnung, Schulungen","1.785,00 €",2017-03,11.4.2017,"160.115,56 €",,,,,,,,,"1.500,00 €","0,00 €"
ER,,,K,,"SEPA-Basislastschrift
AMAZON PAYMENTS EUROPE S.C.A.
028-7331895-9178700 Amazon
.Mktplce EU-DE 219436065343
8860","56,72 €",2017-04,12.4.2017,"160.058,84 €",,,,,,,,,,
ER,,,RW,,"Belegabrechnung April 01 2017, Thinkpad X11 carbon Ralf","2.071,99 €",2017-04,12.4.2017,"157.986,85 €",,,,,,,,,,
SKR03,410,4200,K,,Thinkpad X11 carbon Ralf --> in Anlagen,"1.741,17 €",2017-04,12.4.2017,"157.986,85 €",,,,,,,,,,
AR,,,AN,,moebel.de,"2.856,00 €",2017-03,12.4.2017,"160.842,85 €",,,"2.400,00 €",,,,,,,"0,00 €"
UstVZ,,,K,,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST FEB.17 10.997,91EUR","10.997,91 €",2017-02,13.4.2017,"149.844,94 €",,,,,,,,,,
ER,,,RW,,"SEPA-Basislastschrift
Drillisch Online AG
C2103104 U185682132
B241391869 WINSIM B
2C.DE","19,99 €",2017-04,18.4.2017,"149.824,95 €",,,,,,,,,,
ER,,,AN,,Telekom,"42,90 €",2017-04,18.4.2017,"149.782,05 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Anteil Bürobeschilderung","62,48 €",2017-04,18.4.2017,"149.719,57 €",,,,,,,,,,
ER,,,K,,Fensterreinigung Büro,"73,78 €",2017-04,18.4.2017,"149.645,79 €",,,,,,,,,,
AR,,,AN,,"Funke Medien, Westfalenpost","2.320,47 €",2017-03,19.4.2017,"151.966,26 €",,,"1.800,00 €",,,,,,,"149,97 €"
AR,,,JM,,RN_20170404-02 - Rechnung,"13.794,48 €",2017-03,20.4.2017,"165.760,74 €",,,,,,,,,"11.592,00 €","0,00 €"
AR,,,K,,Anteil Fensterreinigung hauptsache.net,"55,34 €",2017-04,20.4.2017,"165.816,08 €",,,,,,,,,,"46,50 €"
ER,,,K,,Mastercard 2017-04,"1.024,94 €",2017-04,25.4.2017,"164.791,14 €",,,,,,,,,,
AR,,,JM,,Rechnung Hanseatic Bank,"20.789,90 €",2017-03,25.4.2017,"185.581,04 €",,,"8.775,00 €",,"6.637,50 €",,,,,"2.058,00 €"
ER,,,JM,,Congstar,"38,73 €",2017-04,26.4.2017,"185.542,31 €",,,,,,,,,,
ER,,,AN,,"vcomtec, Wolkesicher","4,99 €",2017-04,27.4.2017,"185.537,32 €",,,,,,,,,,
ER,,,K,,"Kontoführung
Abrechnung vom 28.04.2017","16,45 €",2017-04,28.4.2017,"185.520,87 €",,,,,,,,,,
ER,,,AN,,Belegerstattung 2017-04,"256,89 €",2017-04,28.4.2017,"185.263,98 €",,,,,,,,,,
GV,,,JM,,Kommanditistenentnahme 2017-05,"6.000,00 €",2017-05,1.5.2017,"179.263,98 €",,,,,,,,,,
GV,,,AN,,Kommanditistenentnahme 2017-05,"6.000,00 €",2017-05,1.5.2017,"173.263,98 €",,,,,,,,,,
GV,,,RW,,Kommanditistenentnahme 2017-05,"7.500,00 €",2017-05,1.5.2017,"165.763,98 €",,,,,,,,,,
ER,,,K,,"JM-Reisekostenabrechnung Berlin, Thalia, korrektur","12,00 €",2017-03,2.5.2017,"165.751,98 €",,,,,,,,,,
ER,,,K,,Belege-2017-04-JM.pdf,"181,50 €",2017-04,2.5.2017,"165.570,48 €",,,,,,,,,,
ER,,,K,,"reisekosten-2017.04.25-JM.pdf, JM-RKA Breuninger 26.4.2017","317,00 €",2017-04,2.5.2017,"165.253,48 €",,,,,,,,,,
ER,,,K,,"reisekosten-20170323-JM.pdf, JM-RKA Breuninger 21.3.2017","381,18 €",2017-04,2.5.2017,"164.872,30 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Miete","824,78 €",2017-05,2.5.2017,"164.047,52 €",,,,,,,,,,
ER,,,RW,,Rechnung Amazon Maus,"21,98 €",2017-05,3.5.2017,"164.025,54 €",,,,,,,,,,
ER,,,K,,Belegabrechnung RW 2017-04 02,"617,23 €",2017-05,3.5.2017,"163.408,31 €",,,,,,,,,,
AR,,,JM,,RN_20170404-03 - Rechnung,"22.158,72 €",2017-03,4.5.2017,"185.567,03 €",,,,,"4.356,25 €",,,,"14.263,75 €","0,77 €"
AR,,,AN,,moebel.de,"714,00 €",2017-04,5.5.2017,"186.281,03 €",,,"600,00 €",,,,,,,"0,00 €"
AR,,,JM,,"RN_20170502-02 - Rechnung, Berenberg Algo","21.353,06 €",2017-04,5.5.2017,"207.634,09 €",,,,,,,,,"17.943,75 €","0,00 €"
ER,,,K,,"Susanne Bartel, Re-2017-13","6.872,25 €",2017-04,7.5.2017,"200.761,84 €",,,,,,,,,,
ER,,,K,,"SEPA-Basislastschrift
YOLK DANKT MITE.YO.LK
SLV6409356974 04.05 03.28 Y
olk dankt mite.yo.lk 201705
-28399-310362","5,00 €",2017-05,8.5.2017,"200.756,84 €",,,,,,,,,,
ER,,,K,,"hauptsache.net, Miete Februar vergessen","824,78 €",2017-05,8.5.2017,"199.932,06 €",,,,,,,,,,
AR,,,JM,,RN_20170206-Losstech,"952,00 €",2017-01,8.5.2017,"200.884,06 €",,,,,"800,00 €",,,,,"0,00 €"
ER,,,K,,"Christopher Blum HBSL, RN 138, 170426_rechnung_hanseatic_bank.pdf","3.599,75 €",2017-04,9.5.2017,"197.284,31 €",,,,,,,,,,
AR,,,JM,,"RN_20170502-01 - Rechnung, Berenberg","22.833,13 €",2017-04,9.5.2017,"220.117,44 €",,,,,"768,75 €",,,,"18.418,75 €","0,00 €"
ER,,,RW,,"Drillisch, WinSim","11,33 €",2017-05,10.05.2017,"220.106,11 €",,,,,,,,,,
ER,,,K,,"miete mindspace, Miete April ","2.449,02 €",2017-05,10.5.2017,"217.657,09 €",,,,,,,,,,
ER,,,K,,"miete mindspace, Miete Mai","2.449,02 €",2017-05,10.05.2017,"215.208,07 €",,,,,,,,,,
ER,,,K,,"S&S, Breuninger-Tickets Jax","2.897,95 €",2017-05,12.05.2017,"212.310,12 €",,,,,,,,,,
ER,,,K,,Sven Roepstorff für BB,"10.162,60 €",2017-05,12.05.2017,"202.147,52 €",,,,,,,,,,
ER,,,K,,rng170508.pdf Jutta Eckstein Berenberg,"17.796,45 €",2017-04,15.5.2017,"184.351,07 €",,,,,,,,,,
ER,,,K,,Rundfunkbeitrag,"17,49 €",2017-05,15.05.2017,"184.333,58 €",,,,,,,,,,
ER,,,AN,,Telekom,"37,95 €",2017-05,15.05.2017,"184.295,63 €",,,,,,,,,,
UstVZ,,,K,,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST MRZ.17","7.791,24 €",2017-03,17.05.2017,"176.504,39 €",,,,,,,,,,
